,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Bank deposit(target)
39,84,retired,divorced,unknown,no,2619.0,no,no,telephone,8,feb,2,2,115,2,failure,no
40,84,retired,married,unknown,no,81204.0,no,no,telephone,1,apr,6,1,94,3,success,yes
41,84,retired,divorced,unknown,no,639.0,no,yes,telephone,18,may,5,3,-1,0,unknown,yes
42,84,retired,divorced,primary,no,1680.0,no,no,telephone,6,sep,1,5,97,3,other,no
43,84,retired,married,tertiary,no,4761.0,no,no,telephone,9,sep,23,1,92,3,failure,yes
44,83,retired,married,unknown,no,0.0,no,no,cellular,18,mar,2,10,-1,0,unknown,no
45,83,retired,married,primary,no,425.0,no,no,telephone,22,jun,14,1,140,1,failure,yes
46,83,retired,divorced,primary,no,0.0,no,no,telephone,31,may,11,1,77,3,success,no
47,83,retired,divorced,primary,no,1097.0,no,no,telephone,5,mar,3,1,-1,0,unknown,yes
48,83,retired,married,primary,no,425.0,no,no,telephone,2,feb,15,1,-1,0,unknown,no
49,83,retired,married,tertiary,no,6236.0,no,no,cellular,2,feb,4,2,-1,0,unknown,no
50,83,retired,single,primary,no,3349.0,no,no,telephone,12,feb,1,1,-1,0,unknown,no
52,83,retired,married,secondary,no,0.0,no,no,cellular,18,mar,2,10,-1,0,unknown,no
53,83,retired,divorced,primary,no,46.0,no,no,cellular,25,mar,1,1,-1,0,unknown,yes
55,83,retired,married,tertiary,no,6236.0,no,no,cellular,11,aug,2,1,190,2,failure,no
56,83,retired,divorced,primary,no,0.0,no,no,telephone,3,sep,3,1,-1,0,unknown,no
57,83,retired,married,primary,no,425.0,no,no,telephone,22,sep,12,1,92,2,success,yes
58,83,retired,married,unknown,no,4216.0,no,no,cellular,12,oct,1,1,-1,0,unknown,no
59,83,retired,married,tertiary,no,6236.0,no,no,cellular,12,oct,12,1,62,3,failure,no
60,83,retired,single,primary,no,1965.0,no,no,telephone,13,oct,16,3,-1,0,unknown,yes
61,83,retired,divorced,primary,no,2619.0,no,no,telephone,16,oct,3,2,-1,0,unknown,no
62,83,retired,divorced,primary,no,20.0,no,no,cellular,27,nov,1,3,-1,0,unknown,no
63,83,retired,married,tertiary,no,4761.0,no,no,telephone,8,mar,10,1,-1,0,unknown,yes
64,83,retired,married,secondary,no,0.0,no,no,telephone,7,may,3,2,268,2,failure,no
66,83,retired,married,tertiary,no,4761.0,no,no,telephone,9,jun,4,2,93,1,success,no
67,83,housemaid,divorced,primary,no,5944.0,no,no,cellular,30,jul,3,3,-1,0,unknown,no
68,83,housemaid,married,primary,no,2140.0,no,no,cellular,6,sep,1,3,276,8,other,no
69,83,retired,divorced,primary,no,4565.0,no,no,cellular,13,sep,2,2,-1,0,unknown,no
70,82,retired,married,tertiary,no,278.0,no,no,cellular,16,feb,3,7,-1,0,unknown,no
71,82,housemaid,married,primary,no,2140.0,no,no,telephone,14,apr,1,6,-1,0,unknown,no
72,82,retired,married,unknown,no,211.0,no,no,telephone,22,apr,3,3,-1,0,unknown,no
73,82,retired,married,primary,no,8603.0,no,no,cellular,7,jul,7,1,-1,0,unknown,yes
74,82,retired,married,secondary,no,0.0,no,no,telephone,12,aug,2,2,-1,0,unknown,no
75,82,retired,married,secondary,no,276.0,no,no,telephone,17,aug,3,1,-1,0,unknown,yes
76,82,retired,married,primary,no,103.0,no,no,cellular,1,sep,6,1,-1,0,unknown,no
77,82,unknown,divorced,unknown,no,0.0,no,no,telephone,9,sep,4,5,-1,0,unknown,no
78,82,retired,married,primary,no,8603.0,no,no,cellular,22,oct,5,3,107,1,success,yes
79,82,housemaid,divorced,primary,no,1381.0,no,no,cellular,27,oct,2,1,-1,0,unknown,no
80,82,retired,divorced,tertiary,no,0.0,no,no,telephone,12,nov,3,1,-1,0,unknown,yes
81,82,housemaid,divorced,primary,no,1381.0,no,no,cellular,28,jan,1,3,93,1,failure,no
82,82,retired,married,secondary,no,121.0,no,no,telephone,19,feb,5,1,-1,0,unknown,yes
83,82,retired,divorced,primary,no,0.0,no,no,telephone,15,mar,8,2,195,1,other,yes
84,82,retired,divorced,primary,no,1419.0,no,no,telephone,26,mar,2,1,-1,0,unknown,no
85,82,retired,married,primary,no,243.0,no,no,cellular,26,jul,4,1,180,2,success,yes
86,82,housemaid,divorced,primary,no,1381.0,no,no,cellular,28,jul,14,5,181,4,failure,yes
87,82,retired,divorced,primary,no,0.0,no,no,cellular,6,aug,6,3,295,1,failure,no
88,82,retired,divorced,primary,no,928.0,no,no,telephone,23,sep,3,2,188,3,other,no
89,81,retired,married,secondary,no,1.0,no,no,cellular,19,aug,1,5,-1,0,unknown,no
90,81,retired,married,primary,no,122.0,no,no,telephone,23,apr,3,1,-1,0,unknown,no
91,81,management,married,tertiary,no,0.0,no,no,cellular,7,jul,2,1,-1,0,unknown,no
92,81,retired,married,primary,no,0.0,no,no,telephone,11,aug,3,1,-1,0,unknown,no
93,81,retired,divorced,primary,no,4321.0,no,no,cellular,11,aug,2,3,-1,0,unknown,no
95,81,retired,divorced,primary,no,519.0,no,no,telephone,9,sep,8,1,-1,0,unknown,no
96,81,retired,divorced,primary,no,0.0,no,no,telephone,15,oct,2,1,-1,0,unknown,no
97,81,retired,divorced,unknown,no,0.0,no,no,telephone,16,oct,2,1,-1,0,unknown,no
98,81,retired,married,primary,no,243.0,no,no,cellular,27,oct,2,1,-1,0,unknown,yes
99,81,retired,divorced,unknown,no,9224.0,no,no,telephone,9,nov,3,2,-1,0,unknown,no
100,81,retired,married,primary,no,5220.0,no,no,telephone,13,nov,2,1,94,2,other,yes
101,81,retired,married,secondary,no,93.0,no,no,cellular,7,dec,2,1,-1,0,unknown,no
102,81,retired,divorced,secondary,no,452.0,no,no,telephone,16,dec,7,1,-1,0,unknown,yes
103,81,retired,divorced,tertiary,no,0.0,no,no,cellular,14,jan,5,1,-1,0,unknown,no
104,81,retired,married,primary,no,243.0,no,no,cellular,27,jan,5,1,92,1,success,yes
105,81,retired,married,primary,no,1154.0,no,no,telephone,17,sep,3,1,-1,0,unknown,yes
106,81,retired,divorced,primary,no,949.0,no,no,cellular,27,sep,3,2,280,1,other,yes
107,80,management,married,primary,no,6483.0,no,no,telephone,19,oct,2,1,-1,0,unknown,no
108,80,retired,married,secondary,no,8304.0,no,no,telephone,9,jun,11,1,64,12,failure,yes
109,80,retired,married,secondary,no,8304.0,no,no,telephone,6,apr,11,1,118,11,success,no
110,80,retired,married,secondary,no,462.0,no,no,cellular,7,dec,2,2,-1,0,unknown,no
111,80,retired,married,primary,no,1548.0,no,no,cellular,6,aug,5,2,-1,0,unknown,no
112,80,housemaid,married,primary,no,0.0,no,no,cellular,23,feb,10,1,189,1,failure,yes
113,80,retired,married,primary,no,1021.0,no,no,telephone,26,feb,0,1,-1,0,unknown,no
114,80,retired,married,primary,no,1861.0,no,no,telephone,14,apr,9,2,-1,0,unknown,no
115,80,retired,married,tertiary,no,3669.0,no,no,cellular,30,jun,2,1,-1,0,unknown,no
117,80,retired,married,primary,no,2994.0,no,no,cellular,6,aug,5,1,-1,0,unknown,no
118,80,retired,married,unknown,no,355.0,no,no,telephone,10,aug,2,1,-1,0,unknown,no
119,80,retired,married,secondary,no,1610.0,no,no,cellular,12,aug,1,1,-1,0,unknown,no
120,80,retired,married,primary,no,2954.0,no,no,cellular,25,sep,2,1,-1,0,unknown,no
121,80,retired,married,secondary,no,2.0,no,no,telephone,15,oct,7,1,-1,0,unknown,no
123,80,retired,married,secondary,no,87.0,no,no,telephone,27,oct,3,2,-1,0,unknown,no
124,80,retired,married,primary,no,997.0,no,no,cellular,29,oct,12,2,86,1,other,yes
126,80,retired,married,primary,no,155.0,no,no,telephone,9,dec,5,2,-1,0,unknown,yes
127,80,retired,married,primary,no,1468.0,no,no,cellular,13,jan,5,3,-1,0,unknown,yes
128,80,retired,married,primary,no,997.0,no,no,cellular,28,jan,2,1,91,3,success,yes
129,80,retired,married,secondary,no,2354.0,no,no,telephone,4,feb,12,1,181,2,failure,yes
131,80,retired,married,primary,no,155.0,no,no,telephone,12,mar,4,1,93,2,success,yes
132,80,retired,divorced,primary,no,235.0,no,no,cellular,31,mar,9,1,223,3,other,yes
140,80,retired,married,primary,no,1468.0,no,no,cellular,13,jul,4,2,181,3,success,no
141,80,retired,married,secondary,no,173.0,no,no,cellular,2,aug,1,3,-1,0,unknown,no
142,80,retired,married,secondary,no,2354.0,no,no,telephone,4,aug,3,2,181,3,success,no
143,80,retired,married,secondary,no,8304.0,no,no,telephone,8,sep,10,3,91,13,success,yes
144,79,retired,married,secondary,no,4738.0,no,no,telephone,9,jul,2,5,-1,0,unknown,no
145,79,retired,married,primary,no,8556.0,no,no,telephone,18,jan,5,2,272,2,success,yes
146,79,retired,married,primary,no,429.0,no,no,telephone,8,jul,16,2,-1,0,unknown,yes
147,79,retired,divorced,unknown,no,2628.0,no,no,telephone,8,jul,3,7,450,2,failure,no
148,79,retired,married,secondary,no,8304.0,no,no,telephone,9,mar,5,9,-1,0,unknown,yes
149,79,retired,married,primary,no,3481.0,no,no,telephone,17,apr,1,4,-1,0,unknown,no
150,79,retired,married,secondary,no,723.0,no,no,telephone,22,jun,4,3,-1,0,unknown,no
151,79,retired,married,secondary,no,668.0,no,no,telephone,2,jul,6,1,-1,0,unknown,yes
153,79,retired,married,unknown,no,0.0,no,no,telephone,8,jul,2,1,-1,0,unknown,no
155,79,retired,married,secondary,no,2354.0,no,no,telephone,7,aug,2,2,-1,0,unknown,no
156,79,housemaid,married,primary,no,0.0,no,no,cellular,18,aug,1,1,-1,0,unknown,no
157,79,retired,married,secondary,no,723.0,no,no,telephone,9,sep,4,1,79,3,failure,yes
158,79,retired,married,secondary,no,909.0,no,no,cellular,25,sep,1,1,95,1,other,no
159,79,retired,divorced,primary,no,79.0,no,no,cellular,9,oct,18,2,-1,0,unknown,yes
160,79,retired,married,secondary,no,2661.0,no,no,cellular,10,nov,4,5,-1,0,unknown,yes
161,79,retired,married,secondary,no,8304.0,no,no,cellular,9,dec,7,2,275,9,success,yes
162,79,retired,married,primary,no,3025.0,no,no,cellular,11,dec,2,3,126,3,other,yes
164,79,retired,divorced,secondary,no,631.0,no,no,telephone,8,feb,1,2,181,1,failure,no
165,79,retired,divorced,primary,no,1910.0,no,no,telephone,24,feb,1,2,-1,0,unknown,no
166,79,retired,married,primary,no,3025.0,no,no,telephone,11,mar,3,1,90,6,success,no
167,79,retired,divorced,primary,no,20.0,no,no,cellular,29,apr,2,2,182,1,other,no
168,79,retired,married,primary,no,1058.0,no,no,telephone,17,may,9,5,-1,0,unknown,no
170,79,retired,divorced,primary,no,2787.0,no,no,telephone,13,jul,10,1,377,1,success,yes
171,79,retired,divorced,secondary,no,631.0,no,no,telephone,9,aug,7,5,182,3,failure,no
172,79,retired,divorced,primary,no,336.0,no,no,cellular,6,oct,6,1,184,1,other,no
173,78,retired,divorced,primary,no,229.0,no,no,telephone,22,oct,1,1,-1,0,unknown,yes
174,78,housemaid,married,secondary,no,499.0,no,no,telephone,16,mar,1,4,-1,0,unknown,no
175,78,retired,married,tertiary,no,226.0,no,no,telephone,6,nov,2,1,-1,0,unknown,no
176,78,retired,married,primary,no,158.0,no,no,cellular,18,feb,6,1,-1,0,unknown,no
177,78,retired,married,primary,no,2735.0,no,no,telephone,26,feb,6,2,-1,0,unknown,no
179,78,retired,divorced,unknown,no,2628.0,no,no,telephone,14,apr,2,2,-1,0,unknown,no
180,78,unknown,married,unknown,no,2235.0,no,no,telephone,14,apr,5,3,-1,0,unknown,yes
181,78,retired,married,primary,no,240.0,no,no,cellular,20,apr,5,1,-1,0,unknown,yes
182,78,retired,married,primary,no,8556.0,no,no,telephone,21,apr,2,2,-1,0,unknown,yes
183,78,retired,divorced,tertiary,no,1016.0,no,no,cellular,22,jun,8,1,-1,0,unknown,no
184,78,retired,divorced,primary,no,2787.0,no,no,telephone,1,jul,6,1,-1,0,unknown,yes
185,78,retired,married,secondary,no,220.0,no,no,cellular,4,aug,3,1,-1,0,unknown,no
186,78,retired,divorced,secondary,no,631.0,no,no,telephone,11,aug,1,1,-1,0,unknown,no
187,78,retired,married,primary,no,301.0,no,no,cellular,7,sep,8,2,-1,0,unknown,no
188,78,retired,divorced,unknown,no,0.0,no,no,telephone,8,oct,4,1,-1,0,unknown,no
189,78,retired,married,unknown,no,4807.0,no,no,telephone,22,oct,16,4,-1,0,unknown,yes
191,78,retired,divorced,primary,no,55.0,no,no,telephone,5,nov,2,3,90,1,other,no
193,78,retired,married,tertiary,no,1204.0,no,no,telephone,17,nov,2,1,-1,0,unknown,yes
194,78,retired,divorced,primary,no,4917.0,no,no,cellular,29,dec,3,2,-1,0,unknown,no
195,78,retired,married,unknown,no,4807.0,no,no,telephone,3,feb,14,2,104,4,success,yes
196,78,retired,divorced,secondary,no,3219.0,no,no,cellular,24,feb,2,1,-1,0,unknown,yes
197,78,retired,divorced,primary,no,1389.0,no,no,cellular,8,apr,5,1,-1,0,unknown,yes
198,78,retired,married,primary,no,832.0,no,no,telephone,11,may,1,3,-1,0,unknown,no
199,78,retired,divorced,secondary,no,3417.0,no,no,cellular,12,may,5,1,181,1,success,yes
200,78,retired,married,unknown,no,3208.0,no,no,telephone,20,may,5,3,-1,0,unknown,yes
201,78,retired,married,primary,no,680.0,no,no,telephone,24,may,13,1,89,9,failure,no
202,78,retired,married,unknown,no,38.0,no,no,telephone,4,aug,2,1,1,3,other,no
203,78,retired,divorced,primary,no,527.0,no,no,cellular,16,sep,3,1,-1,0,unknown,yes
204,78,management,married,unknown,no,1780.0,yes,no,cellular,25,oct,3,2,185,7,success,yes
205,78,retired,married,primary,no,14204.0,no,no,cellular,26,oct,2,1,183,1,other,no
206,77,retired,divorced,tertiary,no,4659.0,no,no,cellular,14,apr,2,1,-1,0,unknown,yes
207,77,retired,married,tertiary,no,7802.0,no,no,telephone,4,may,7,1,92,2,success,yes
208,77,retired,married,secondary,no,610.0,no,no,cellular,13,aug,12,3,-1,0,unknown,no
209,77,retired,married,tertiary,no,0.0,no,no,cellular,16,oct,14,1,60,1,success,yes
210,77,retired,married,primary,no,680.0,no,no,telephone,24,feb,8,2,89,7,failure,no
211,77,retired,married,primary,no,680.0,no,no,telephone,27,nov,5,4,94,3,failure,no
212,77,retired,married,secondary,no,9601.0,no,no,telephone,27,mar,8,1,-1,0,unknown,yes
213,77,retired,married,tertiary,no,0.0,no,no,cellular,6,apr,3,1,-1,0,unknown,no
214,77,retired,divorced,Tertiary,no,4659.0,no,no,cellular,14,apr,2,1,-1,0,unknown,yes
215,77,retired,divorced,primary,no,639.0,no,no,telephone,16,apr,2,7,-1,0,unknown,no
216,77,retired,married,secondary,no,1208.0,no,no,telephone,28,apr,1,4,-1,0,unknown,no
217,77,retired,married,secondary,no,638.0,no,no,cellular,7,aug,7,1,-1,0,unknown,yes
218,77,retired,married,tertiary,no,699.0,no,no,cellular,13,aug,7,2,-1,0,unknown,yes
220,77,retired,married,tertiary,no,0.0,no,no,cellular,17,aug,4,1,-1,0,unknown,yes
221,77,retired,married,primary,no,680.0,no,no,telephone,25,aug,1,3,-1,0,unknown,no
222,77,retired,single,primary,no,300.0,no,no,cellular,9,sep,8,1,-1,0,unknown,no
223,77,retired,divorced,secondary,no,0.0,no,no,cellular,25,sep,3,1,-1,0,unknown,yes
224,77,retired,married,primary,no,121.0,no,no,telephone,7,oct,3,1,-1,0,unknown,no
225,77,retired,married,primary,no,989.0,no,no,telephone,12,oct,1,2,-1,0,unknown,no
227,77,retired,married,unknown,no,1807.0,no,no,telephone,20,oct,6,1,-1,0,unknown,yes
228,77,management,married,unknown,no,1780.0,yes,no,cellular,23,oct,3,2,183,3,success,yes
229,77,retired,DIV,secondary,no,3417.0,no,no,cellular,12,nov,2,1,-1,0,unknown,yes
230,77,retired,married,primary,no,2590.0,no,no,telephone,13,nov,3,3,277,12,failure,yes
232,77,retired,married,secondary,no,4112.0,no,no,telephone,26,,2,2,-1,2,success,yes
233,77,retired,married,tertiary,no,7802.0,no,no,telephone,1,,2,2,-1,0,unknown,yes
234,77,retired,married,unknown,no,38.0,no,no,telephone,3,feb,4,1,-1,0,unknown,no
235,77,retired,married,secondary,no,2123.0,no,no,telephone,4,feb,2,4,-1,0,unknown,no
236,77,retired,married,secondary,no,638.0,no,no,cellular,11,feb,4,1,188,1,success,yes
237,77,retired,married,primary,no,2590.0,no,no,telephone,15,feb,1,5,94,15,success,no
239,77,retired,married,primary,no,29340.0,no,no,cellular,15,mar,4,1,91,2,other,yes
240,77,management,married,tertiary,no,5619.0,no,no,cellular,25,mar,3,1,-1,0,unknown,no
241,77,management,married,unknown,no,1780.0,yes,no,cellular,23,apr,6,2,182,5,success,yes
242,77,retired,married,unknown,no,992.0,no,no,cellular,27,apr,2,2,182,2,failure,no
244,77,unknown,married,unknown,no,397.0,no,no,telephone,7,may,5,3,-1,0,unknown,yes
245,77,retired,married,primary,no,3324.0,no,no,cellular,13,may,4,1,91,5,success,yes
246,77,retired,married,tertiary,no,1047.0,no,no,cellular,30,jun,1,5,-1,0,unknown,no
247,77,retired,married,secondary,no,4112.0,no,no,telephone,29,jul,7,1,184,3,success,yes
248,77,retired,married,primary,no,2223.0,no,no,telephone,10,aug,6,2,187,1,success,no
249,77,retired,married,primary,no,2590.0,no,no,telephone,12,aug,5,1,178,20,failure,yes
250,77,retired,married,primary,no,1492.0,no,no,telephone,1,sep,11,1,208,2,other,no
251,77,retired,married,primary,no,1385.0,no,no,telephone,8,sep,2,4,-1,0,unknown,no
252,77,retired,married,tertiary,no,0.0,no,no,cellular,27,sep,16,4,-1,0,unknown,no
253,77,retired,married,secondary,no,820.0,no,no,telephone,21,oct,5,2,181,4,success,yes
254,77,retired,divorced,primary,no,2693.0,no,no,cellular,25,oct,1,2,94,12,other,no
255,77,unknown,married,unknown,no,397.0,no,no,telephone,8,nov,3,1,185,3,success,no
256,76,retired,divorced,primary,no,86.0,no,no,cellular,12,aug,3,1,-1,0,unknown,no
257,76,retired,married,primary,no,2590.0,no,no,telephone,9,feb,1,12,-1,0,unknown,no
259,76,retired,divorced,primary,no,3049.0,no,no,cellular,24,mar,2,3,-1,0,unknown,yes
260,76,housemaid,divorced,primary,no,1411.0,no,no,telephone,15,apr,2,3,-1,0,unknown,yes
261,76,management,married,unknown,no,1780.0,yes,no,telephone,23,apr,6,3,-1,0,unknown,yes
263,76,retired,married,primary,no,3324.0,no,no,cellular,13,aug,3,2,192,1,failure,yes
264,76,retired,married,tertiary,no,0.0,no,no,telephone,19,aug,2,1,-1,0,unknown,no
265,76,retired,married,primary,no,2632.0,no,no,cellular,28,aug,6,2,-1,0,unknown,no
266,76,retired,divorced,primary,no,802.0,no,no,cellular,9,sep,7,5,-1,0,unknown,yes
267,76,retired,married,secondary,no,242.0,no,no,telephone,16,sep,16,3,-1,0,unknown,no
268,76,retired,married,primary,no,163.0,no,no,telephone,13,oct,2,1,-1,0,unknown,no
269,76,housemaid,divorced,primary,no,1411.0,no,no,telephone,19,oct,3,2,187,3,success,yes
270,76,retired,divorced,primary,no,2693.0,no,no,cellular,21,oct,1,2,-1,0,unknown,yes
271,76,retired,married,tertiary,no,2991.0,no,no,cellular,22,oct,5,1,183,1,success,yes
272,76,retired,married,secondary,no,4112.0,no,no,telephone,23,oct,4,2,-1,0,unknown,yes
273,76,retired,married,unknown,no,992.0,no,no,cellular,27,oct,2,2,-1,0,unknown,no
274,76,retired,married,primary,no,1492.0,no,no,telephone,3,nov,6,1,-1,0,unknown,yes
275,76,retired,married,secondary,no,2302.0,no,no,telephone,10,nov,5,2,-1,0,unknown,no
276,76,retired,married,primary,no,3324.0,no,no,cellular,13,nov,2,1,92,3,success,yes
277,76,retired,married,tertiary,no,2991.0,no,no,cellular,25,jan,3,1,95,2,success,no
278,76,retired,married,unknown,no,8919.0,no,no,cellular,28,jan,3,1,-1,0,unknown,no
279,76,retired,married,secondary,no,852.0,no,no,telephone,3,feb,4,2,-1,0,unknown,no
280,76,retired,married,primary,no,2223.0,no,no,telephone,4,feb,7,1,-1,0,unknown,yes
281,76,retired,married,tertiary,no,0.0,no,no,telephone,4,feb,1,3,169,1,failure,no
282,76,retired,married,secondary,no,2302.0,no,no,telephone,5,feb,1,1,87,2,failure,no
283,76,retired,married,primary,no,3324.0,no,no,cellular,11,feb,5,1,90,4,success,yes
284,76,retired,divorced,primary,no,802.0,no,no,cellular,9,mar,4,1,181,5,success,yes
285,76,retired,divorced,primary,no,2693.0,no,no,cellular,23,apr,1,5,184,2,success,no
286,76,retired,married,secondary,no,820.0,no,no,telephone,23,apr,4,4,-1,0,unknown,yes
287,76,self-employed,married,unknown,no,4984.0,no,no,telephone,28,apr,6,1,182,1,success,yes
288,76,self-employed,married,unknown,no,4984.0,no,no,telephone,15,jun,2,3,48,2,success,no
289,76,housemaid,married,primary,no,1483.0,no,no,cellular,2,aug,1,4,-1,0,unknown,no
290,75,retired,married,secondary,no,3771.0,no,no,telephone,15,apr,3,1,181,2,success,yes
291,75,retired,divorced,tertiary,no,3810.0,yes,no,cellular,16,nov,4,1,183,1,failure,yes
292,75,retired,divorced,secondary,no,1341.0,no,no,cellular,18,dec,6,7,-1,0,unknown,yes
293,75,retired,divorced,primary,no,852.0,no,no,cellular,15,mar,5,1,-1,0,unknown,no
294,75,blue-collar,married,secondary,no,6053.0,no,no,cellular,11,feb,14,2,190,1,failure,no
295,75,retired,married,secondary,no,26452.0,no,no,telephone,15,jul,3,2,-1,0,unknown,no
296,75,retired,divorced,primary,no,46.0,no,no,cellular,2,feb,4,1,-1,0,unknown,no
297,75,retired,married,primary,no,3324.0,no,no,cellular,2,feb,2,1,-1,0,unknown,no
298,75,retired,divorced,primary,no,3881.0,yes,no,cellular,4,feb,2,3,-1,0,unknown,yes
299,75,retired,married,primary,no,358.0,no,no,cellular,17,feb,6,11,-1,0,unknown,yes
300,75,retired,married,secondary,no,1470.0,no,no,telephone,27,feb,0,1,-1,0,unknown,no
301,75,retired,divorced,secondary,no,105.0,no,no,cellular,14,apr,3,1,-1,0,unknown,no
302,75,retired,married,tertiary,no,2991.0,no,no,cellular,22,apr,4,1,-1,0,unknown,yes
303,75,admin.,married,unknown,no,1093.0,no,no,cellular,22,apr,6,1,-1,0,unknown,no
304,75,retired,divorced,primary,no,18.0,no,no,cellular,24,apr,3,4,-1,0,unknown,no
306,75,retired,married,primary,no,5491.0,no,no,telephone,28,jul,4,6,-1,0,unknown,no
307,75,blue-collar,married,secondary,no,6053.0,no,no,telephone,5,aug,6,1,-1,0,unknown,no
308,75,retired,married,primary,no,2970.0,no,no,cellular,12,aug,10,1,-1,0,unknown,yes
309,75,unknown,married,tertiary,no,643.0,no,no,cellular,15,oct,8,2,-1,0,unknown,no
310,75,retired,married,secondary,no,3771.0,no,no,telephone,16,oct,3,1,183,1,failure,yes
311,75,self-employed,married,unknown,no,4984.0,no,no,telephone,28,oct,8,1,-1,0,unknown,yes
312,75,retired,married,secondary,no,324.0,no,no,telephone,12,nov,2,2,91,4,other,no
313,75,retired,divorced,secondary,no,2199.0,no,no,telephone,13,nov,2,1,-1,0,unknown,no
314,75,retired,married,tertiary,no,6027.0,no,no,cellular,16,nov,20,2,94,2,failure,yes
316,75,retired,divorced,primary,no,37127.0,no,no,cellular,11,feb,8,1,-1,0,unknown,no
318,75,retired,married,secondary,no,291.0,no,no,cellular,11,feb,8,1,183,1,failure,yes
319,75,retired,married,unknown,no,7819.0,no,no,cellular,15,feb,4,1,97,4,other,no
320,75,retired,married,primary,no,1765.0,no,no,telephone,11,mar,4,2,181,2,success,no
323,75,retired,married,tertiary,no,6027.0,no,no,cellular,14,may,13,1,179,4,success,yes
324,75,retired,married,primary,no,962.0,no,no,cellular,17,jun,5,1,-1,0,unknown,no
325,75,retired,married,secondary,no,468.0,no,no,telephone,24,jun,5,1,-1,0,unknown,no
326,75,retired,married,primary,no,3504.0,no,no,telephone,9,aug,3,1,-1,0,unknown,no
327,75,retired,married,secondary,no,291.0,no,no,cellular,12,aug,5,1,182,2,success,yes
328,75,retired,married,primary,no,1413.0,no,no,cellular,1,sep,8,2,188,2,success,yes
